;Fruit;Company;Clean Format;Sum of Volume;Average of Price
;mango;;;;
;;WESTFALIA FRUIT PERÚ S.A.C.;;;
;;;Unknown;636 MT;1 353 USD/MT
;;;(blank);96 MT;1 500 USD/MT
;;;;;
;;V & F SAC;;;
;;;Chunks;335 MT;1 942 USD/MT
;;;Unknown;335 MT;2 347 USD/MT
;;;;;
;;AGROFRUTOS TRADING S.A.;;;
;;;Chunks;649 MT;1 808 USD/MT
;;;(blank);0 MT;1 036 USD/MT
;;;;;
;;AGRO FROST S.A.C.;;;
;;;Chunks;624 MT;1 859 USD/MT
;;;Cubes;22 MT;3 450 USD/MT
;;;;;
;;AMARA FOODS S.A.C.;;;
;;;Pulp;611 MT;1 255 USD/MT
;;;Unknown;22 MT;2 300 USD/MT
;;;Cubes;6 MT;1 735 USD/MT
;;;;;
Mango;;PRODUCTORA ANDINA DE CONGELADOS S.R.L.;;;
;;;Chunks;295 MT;1 819 USD/MT
;;;(blank);46 MT;1 920 USD/MT
;;;Unknown;22 MT;1 250 USD/MT
;;;Pulp;20 MT;1 617 USD/MT
;;;Halves;19 MT;1 000 USD/MT
;;;;;
;;EXPORTACIONES MIRSA EMPRESA INDIVIDUAL D;;;
;;;Chunks;148 MT;2 115 USD/MT
;;;Cubes;107 MT;2 237 USD/MT
;;;Unknown;101 MT;2 184 USD/MT
;;;(blank);28 MT;1 994 USD/MT
;;;Pulp;9 MT;1 460 USD/MT
;;;;;
;;PERUVIAN FOOD GROUPS SOCIEDAD ANONIMA CERRADA.;;;
;;;Chunks;231 MT;1 789 USD/MT
;;;;;
;;NATURANDINA DEL PERU S.A.C.;;;
;;;Chunks;129 MT;2 695 USD/MT
;;;Unknown;82 MT;2 290 USD/MT
;;;;;
;;UNION DE NEGOCIOS CORPORATIVOS SOCIEDAD ANONIMA CERRADA;;;
;;;Chunks;81 MT;2 207 USD/MT
;;;Pulp;47 MT;1 783 USD/MT
;;;Unknown;42 MT;1 648 USD/MT
;;;(blank);11 MT;1 483 USD/MT
;;;;;
;;ELITE FOOD PERU S.A.C.;;;
;;;Chunks;166 MT;1 878 USD/MT
;;;Pulp;6 MT;2 221 USD/MT
Mango;;;;;
;;FUSION FOODS S.A.C.;;;
;;;Chunks;144 MT;1 945 USD/MT
;;;Pulp;24 MT;3 517 USD/MT
;;;;;
;;B & R FOODS S.A.C.;;;
;;;Chunks;143 MT;1 675 USD/MT
;;;Unknown;7 MT;1 200 USD/MT
;;;(blank);1 MT;1 200 USD/MT
;;;;;
;;PROFRUIT INDUSTRY S.A.C.;;;
;;;Chunks;144 MT;1 645 USD/MT
;;;;;
;;FRUTICAL S.A.C.;;;
