fruit_name,Exporter,format_type,Shipments,Avg Price USD/MT,Median Price USD/MT,Std Dev,Min Price USD/MT,Max Price USD/MT,Total Volume MT,Destination Countries,Organic,IQF,Certifications
avocado,AGROMAR INDUSTRIAL S.A.,halves,1,3504.94,3504.94,,3504.94,3504.94,18.0,Spain,No,Yes,
avocado,AMARA FOODS S.A.C.,pulp,203,2606.17,2630.07,312.58,5.0,4000.0,2265.4,"Belgium, Germany, Spain, United Kingdom",No,No,
avocado,AMARA FOODS S.A.C.,unknown,2,2745.34,2745.34,34.88,2720.67,2770.0,21.96,Belgium,No,No,
avocado,ARA FOODS INDUSTRY S.A.C.,chunks,8,2875.0,2900.0,116.5,2700.0,3000.0,133.6,Belgium,No,No,
avocado,ARA FOODS INDUSTRY S.A.C.,cubes,2,2950.0,2950.0,70.71,2900.0,3000.0,36.1,"Belgium, Spain",No,No,conventional
avocado,ARA FOODS INDUSTRY S.A.C.,slices,1,2965.0,2965.0,,2965.0,2965.0,15.6,Belgium,No,No,conventional
avocado,ARA FOODS INDUSTRY S.A.C.,unknown,30,2945.73,3000.0,671.18,142.86,3800.0,507.61,Belgium,No,No,conventional
avocado,CAMPOSOL S.A.,unknown,28,3257.9,3150.0,2236.7,0.5,13785.38,446.98,"Belgium, France, Netherlands, Poland, Spain, United Kingdom",No,No,
avocado,DANPER TRUJILLO S.A.C.,unknown,74,1989.94,2289.26,1618.97,0.2,4300.06,818.41,"France, Netherlands, Spain, United Kingdom",No,No,
avocado,DEL ANDE ALIMENTOS S.A.C.,chunks,2,2917.94,2917.94,203.2,2774.25,3061.62,20.0,France,No,No,
avocado,DEL ANDE ALIMENTOS S.A.C.,cubes,2,2952.94,2952.94,153.7,2844.25,3061.62,28.0,France,No,No,
avocado,DEL ANDE ALIMENTOS S.A.C.,puree,8,2432.82,2348.67,156.45,2309.62,2666.0,192.0,Netherlands,No,No,
avocado,DEL ANDE ALIMENTOS S.A.C.,slices,2,3154.94,3154.94,261.54,2970.0,3339.88,43.41,France,No,No,
avocado,DEL ANDE ALIMENTOS S.A.C.,unknown,1,1000.0,1000.0,,1000.0,1000.0,0.0,Germany,No,No,
avocado,DOMINUS S.A.C,unknown,78,2605.4,2825.0,841.22,70.0,4019.87,1403.65,"Belgium, Denmark, Italy, Netherlands, United Kingdom",No,No,
avocado,EXPORTACIONES MIRSA EMPRESA INDIVIDUAL D,cubes,3,3397.98,3349.6,91.91,3340.37,3503.97,3.01,Spain,No,No,
avocado,EXPORTACIONES MIRSA EMPRESA INDIVIDUAL D,halves,3,3455.05,3413.85,139.91,3340.37,3610.94,11.3,"Spain, United Kingdom",No,No,conventional
avocado,EXPORTACIONES MIRSA EMPRESA INDIVIDUAL D,pulp,3,645.17,500.0,308.98,435.5,1000.0,0.02,"Belgium, Spain, United Kingdom",No,No,
avocado,EXPORTACIONES MIRSA EMPRESA INDIVIDUAL D,slices,1,3518.82,3518.82,,3518.82,3518.82,5.24,United Kingdom,No,No,conventional
avocado,EXPORTACIONES MIRSA EMPRESA INDIVIDUAL D,unknown,5,2722.15,2706.88,112.97,2585.5,2900.0,55.89,Spain,No,No,
avocado,FRUTICAL S.A.C.,iqf,1,2670.0,2670.0,,2670.0,2670.0,22.0,Belgium,No,Yes,
avocado,FRUTICAL S.A.C.,puree,1,3370.0,3370.0,,3370.0,3370.0,24.0,Belgium,No,No,
avocado,FRUTICAL S.A.C.,slices,1,3305.45,3305.45,,3305.45,3305.45,16.5,Spain,No,No,
avocado,FRUTICAL S.A.C.,unknown,2,3017.56,3017.56,491.52,2670.0,3365.12,38.4,"Belgium, Spain",No,No,
avocado,FRUTOS TONGORRAPE SOCIEDAD ANONIMA,cubes,2,3055.0,3055.0,120.21,2970.0,3140.0,22.0,Netherlands,No,Yes,conventional
avocado,FRUTOS TONGORRAPE SOCIEDAD ANONIMA,halves,7,2048.57,2800.0,1318.46,40.0,2850.0,96.0,"Belgium, Netherlands",No,Yes,conventional
avocado,FRUTOS TONGORRAPE SOCIEDAD ANONIMA,iqf,1,2518.94,2518.94,,2518.94,2518.94,18.0,Netherlands,No,Yes,
avocado,FRUTOS TONGORRAPE SOCIEDAD ANONIMA,slices,2,120.0,120.0,113.14,40.0,200.0,0.0,"Belgium, Netherlands",No,Yes,
avocado,FRUTOS TONGORRAPE SOCIEDAD ANONIMA,unknown,3,300.0,200.0,173.21,200.0,500.0,0.0,"Belgium, Netherlands",No,No,
avocado,FRUTOS TROPICALES PERU EXPORT SOCIEDAD A,chunks,1,835.0,835.0,,835.0,835.0,0.0,Netherlands,No,No,
avocado,FRUTOS TROPICALES PERU EXPORT SOCIEDAD A,halves,1,835.0,835.0,,835.0,835.0,0.0,Netherlands,No,No,
