fruit_name,Exporter,Shipments,Avg Price USD/MT,Median Price USD/MT,Min Price USD/MT,Max Price USD/MT,Total Volume MT,Formats Offered
blueberry,DANPER TRUJILLO S.A.C.,24,2262.11,2375.13,333.33,2598.08,536.96,unknown
blueberry,DOMINUS S.A.C,22,2262.09,2328.38,833.33,2675.0,496.97,unknown
blueberry,SOCIEDAD MERCANTIL (EXPORTACION) SA,21,1682.94,1725.27,1497.67,1857.09,496.0,"unknown, whole"
blueberry,MEBOL GF S.A.C.,20,2389.78,2586.46,425.0,2832.5,447.51,"chunks, unknown"
blueberry,MEBOL SAC,16,2404.56,2405.24,2006.25,2607.34,383.99,"chunks, unknown"
blueberry,FRUTÍCOLA OLMUÉ PERÚ S.A.C.,8,2474.98,2449.98,2349.97,2650.0,190.4,"iqf, unknown"
blueberry,AGROEMPAQUES S.A.,7,2238.57,2190.0,1900.0,2400.0,168.0,unknown
blueberry,VIRU S.A.,16,1802.38,2099.48,200.0,2908.52,167.16,"chunks, unknown, whole"
blueberry,UNION DE NEGOCIOS CORPORATIVOS SOCIEDAD ANONIMA CERRADA,4,2397.42,2394.86,2300.0,2499.97,94.03,whole
blueberry,AGRO FROST S.A.C.,3,2075.0,2100.0,2025.0,2100.0,72.0,unknown
blueberry,DEL ANDE ALIMENTOS S.A.C.,4,1566.6,2085.8,9.0,2085.82,72.0,unknown
blueberry,EXPORTACIONES MIRSA EMPRESA INDIVIDUAL D,6,2201.98,2163.74,1881.39,2890.52,69.71,"unknown, whole"
blueberry,P & M FRUITS S.A.C.,2,2250.0,2250.0,2250.0,2250.0,48.0,unknown
blueberry,FUSION FOODS S.A.C.,1,2323.96,2323.96,2323.96,2323.96,24.0,iqf
blueberry,GAMN EXPORT & IMPORT SERV GNRAL S.A.C.,1,2345.33,2345.33,2345.33,2345.33,24.0,unknown
blueberry,SERVICIOS PROCESADORA PERU S.A.C.,1,1530.83,1530.83,1530.83,1530.83,23.99,unknown
blueberry,PROYECTOS & EXPORTACIONES CASMA S.A.C.,1,5550.0,5550.0,5550.0,5550.0,3.0,unknown
blueberry,MONDO IMPRENDITORE S.A.C.,1,625.0,625.0,625.0,625.0,0.01,unknown
camu_camu,MERRILL CORPORACION S.A.C.,5,54174.97,50321.43,49875.0,60623.0,0.24,unknown
camu_camu,FRUTAMA S.A.C.,1,8000.0,8000.0,8000.0,8000.0,0.1,pulp
camu_camu,"MCMC PERU S.A,C,",2,48095.0,48095.0,46190.0,50000.0,0.03,unknown
cherimoya,FUSION FOODS S.A.C.,2,5847.28,5847.28,5638.67,6055.89,0.65,pulp
golden_berry,FRUTOS TONGORRAPE SOCIEDAD ANONIMA,3,1023.33,90.0,30.0,2950.0,8.01,iqf
golden_berry,PERUVIAN FOOD GROUPS SOCIEDAD ANONIMA CERRADA.,1,3350.0,3350.0,3350.0,3350.0,8.0,whole
golden_berry,AGC IMPORTACIONES S.A.C.,2,9000.0,9000.0,6000.0,12000.0,0.0,unknown
golden_berry,MEBOL GF S.A.C.,1,425.0,425.0,425.0,425.0,0.0,unknown
golden_berry,MONDO IMPRENDITORE S.A.C.,1,666.67,666.67,666.67,666.67,0.0,unknown
grape,DOMINUS S.A.C,11,1479.07,1523.14,320.0,3431.71,147.01,unknown
grape,VIRU S.A.,2,227.0,227.0,227.0,227.0,0.02,unknown
grape,MONDO IMPRENDITORE S.A.C.,1,666.67,666.67,666.67,666.67,0.01,unknown
grape,VIRÚ GROUP PERÚ S.A.,2,84.34,84.34,2.0,166.67,0.01,unknown
grape,MEBOL GF S.A.C.,1,425.0,425.0,425.0,425.0,0.0,unknown
lucuma,FUSION FOODS S.A.C.,22,4170.92,4269.11,853.41,6318.28,37.47,pulp
lucuma,THE GREEN FARMER S.A.C.,6,3853.33,3820.0,3640.0,4200.0,14.03,pulp
lucuma,MIRANDA - LANGA AGRO EXPORT S.A.C - MIRANDA - LANGA S.A.C,2,4174.0,4174.0,4128.0,4220.0,6.12,pulp
lucuma,EXPORTACIONES MIRSA EMPRESA INDIVIDUAL D,3,4195.93,3746.5,3428.5,5412.8,4.21,pulp
lucuma,NITHO'S COMPANY S.A.C.,31,1935.48,2000.0,1000.0,2000.0,4.21,unknown
lucuma,ZOWI PERU SOCIEDAD ANONIMA CERRADA,2,3073.1,3073.1,2467.87,3678.33,3.14,pulp
lucuma,LAMAS IMPORT EXPORT S.A.C.,6,1455.99,1492.97,800.0,2000.0,1.68,"halves, pulp"
lucuma,MAPA LOGISTICA INTERNACIONAL SAC,41,2091.99,2000.0,1500.0,3000.0,1.38,unknown
lucuma,MIKUY TRADERS S.A.C.,1,2652.9,2652.9,2652.9,2652.9,0.83,pulp
lucuma,MULTISERVICIOS ROMERO'S & MORENO'S S.A.C.,20,3414.5,3420.0,2850.0,3820.0,0.48,unknown
lucuma,NEGOCIOS E INVERSIONES MACOVIJ E.I.R.L. - NIMACOVIJ E.I.R.L.,2,4000.0,4000.0,4000.0,4000.0,0.41,unknown
lucuma,INDUSTRIAS SISA S.A.C.,1,3200.0,3200.0,3200.0,3200.0,0.21,pulp
lucuma,NOVAL COMPANY S.A.C.,2,3700.0,3700.0,3700.0,3700.0,0.15,unknown
lucuma,CORPORACION ESPIN E.I.R.L.,3,3300.0,3300.0,3300.0,3300.0,0.1,unknown
lucuma,QORI FOODS S.A.C.,1,1600.0,1600.0,1600.0,1600.0,0.04,unknown
lucuma,SILVA & ZAPATA IMPORTACION S.A.C.,3,4203.33,3970.0,3670.0,4970.0,0.04,unknown
lucuma,OLLADEBARROFOODSOCIEDADCOMERCIALDERESPON,3,2800.0,2800.0,2800.0,2800.0,0.03,unknown
lucuma,AGROMANIA SAC,1,3900.0,3900.0,3900.0,3900.0,0.02,unknown
lucuma,INCA INVEST PERU S.A.C.,1,3900.0,3900.0,3900.0,3900.0,0.02,unknown
lucuma,SELVA Y FLORESTA SOCIEDAD ANONIMA CERRADA - SELFLO S.A.C.,1,2490.0,2490.0,2490.0,2490.0,0.02,unknown
lucuma,FALEB CORP E.I.R.L.,1,3700.0,3700.0,3700.0,3700.0,0.01,unknown
lucuma,DEL ANDE ALIMENTOS S.A.C.,1,2.0,2.0,2.0,2.0,0.0,unknown
mango,VIRU S.A.,225,1802.86,1984.64,170.0,3255.27,3534.54,"chunks, cubes, halves, unknown"
mango,QUICORNAC S.A.C.,98,1039.77,1036.48,666.09,1586.0,3527.3,"concentrate, puree, unknown"
mango,AGROINDUSTRIA FRUTOS DE ORO S.A.C.,154,1806.5,1739.88,52.0,3571.51,3311.75,"broken_pieces, chunks, iqf, unknown"
mango,AGRICOLA Y GANADERA CHAVIN DE HUANTAR SA,116,2048.29,1837.46,714.29,3533.99,2306.81,"broken_pieces, chunks, cubes, iqf, unknown"
mango,FRUTÍCOLA OLMUÉ PERÚ S.A.C.,97,2043.07,1845.0,1300.02,3571.43,2215.61,"broken_pieces, chunks, cubes, iqf"
mango,FRUTOS TROPICALES PERU EXPORT SOCIEDAD A,90,1951.84,1742.08,830.0,3482.81,1988.32,"chunks, unknown"
mango,SUNSHINE EXPORT S.A.C,95,1964.07,1720.0,133.33,4190.0,1914.85,unknown
mango,AGROINDUSTRIAS AIB S.A,82,1788.91,1765.0,243.01,3550.0,1736.34,"chunks, iqf, unknown"
mango,CAMPOSOL S.A.,67,1870.09,1695.41,1173.86,2942.05,1443.86,unknown
mango,VIRÚ GROUP PERÚ S.A.,116,1521.25,1894.74,2.0,4580.75,1294.34,"chunks, cubes, halves, unknown"
mango,AGROMAR INDUSTRIAL S.A.,36,1516.52,1648.21,1050.0,2000.0,976.5,"chunks, unknown"
mango,DOMINUS S.A.C,48,1702.95,1734.16,40.0,3359.54,966.5,"chunks, unknown"
mango,SANTA SOFIA DEL SUR S.A.C.,39,1555.57,1563.0,1138.92,1691.0,924.0,"chunks, unknown"
mango,PULPAS Y PROCESADOS DEL AGRO SOCIEDAD ANONIMA-PULPAGRO,58,1443.43,1850.71,250.0,3200.0,774.56,"chunks, halves, iqf"
mango,WESTFALIA FRUIT PERÚ S.A.C.,31,1495.14,1504.92,1105.82,1588.16,732.45,"iqf, unknown"
mango,FRUTOS TONGORRAPE SOCIEDAD ANONIMA,40,1268.05,1700.0,25.0,2260.0,553.06,"chunks, cubes, halves, iqf, unknown"
mango,ARA FOODS INDUSTRY S.A.C.,23,1849.77,1706.41,1133.33,3299.82,548.0,"chunks, unknown"
mango,AMARA FOODS S.A.C.,20,833.99,818.22,804.67,970.0,538.8,pulp
mango,PROCESADORA LARAN SAC,19,1829.11,1632.71,1557.34,2759.71,469.67,chunks
mango,MEBOL SAC,17,1832.8,1830.0,1617.12,2050.0,382.0,"chunks, unknown"
mango,DANPER TRUJILLO S.A.C.,18,1844.84,1903.84,1093.05,2172.26,380.18,unknown
mango,PRODUCTORA ANDINA DE CONGELADOS S.R.L.,11,1370.0,1380.0,1250.0,1390.0,262.0,"chunks, unknown"
mango,MEBOL GF S.A.C.,16,2062.36,2034.26,425.0,3850.0,252.81,"chunks, unknown"
mango,AGROFRUTOS TRADING S.A.,7,1602.67,1650.32,1250.0,1871.5,154.0,chunks
mango,PROCESADORA PERU SOCIEDAD ANONIMA CERRADA,6,1650.62,1730.21,1034.66,1854.25,144.02,"chunks, unknown"
mango,PROFRUIT INDUSTRY S.A.C.,6,1645.14,1624.06,1586.04,1800.0,144.0,chunks
