Exporter;Fruit;Format;Average of Average Price (USD/MT);Sum of Volume (MT)
;;broken_pieces;2 066 USD/MT;39 MT
;;slices;3 447 USD/MT;22 MT
;;pulp;2 019 USD/MT;20 MT
;mango;;;
;;chunks;1 746 USD/MT;22 MT
ARA FOODS INDUSTRY S.A.C.;;;2 620 USD/MT;591 MT
;mango;;;
;;chunks;1 689 USD/MT;406 MT
;avocado;;;
;;chunks;2 875 USD/MT;134 MT
;;cubes;2 950 USD/MT;36 MT
;;slices;2 965 USD/MT;16 MT
PROCESADORA LARAN SAC;;;3 284 USD/MT;482 MT
;mango;;;
;;chunks;1 829 USD/MT;470 MT
;avocado;;;
;;chunks;4 738 USD/MT;12 MT
MEBOL SAC;;;2 635 USD/MT;458 MT
;blueberry;;;
;;chunks;2 461 USD/MT;288 MT
;mango;;;
;;chunks;1 844 USD/MT;166 MT
;passion_fruit;;;
;;chunks;3 600 USD/MT;4 MT
HONEST FOODS S.A.C.;;;2 879 USD/MT;392 MT
;avocado;;;
;;chunks;2 562 USD/MT;243 MT
;;puree;2 821 USD/MT;102 MT
;;pulp;3 254 USD/MT;48 MT
MEBOL GF S.A.C.;;;2 476 USD/MT;381 MT
;blueberry;;;
;;chunks;2 475 USD/MT;304 MT
;mango;;;
;;chunks;2 101 USD/MT;57 MT
;avocado;;;
;;chunks;2 852 USD/MT;21 MT
DEL ANDE ALIMENTOS S.A.C.;;;2 242 USD/MT;374 MT
;avocado;;;
;;puree;2 433 USD/MT;192 MT
;;slices;3 155 USD/MT;43 MT
;;cubes;2 953 USD/MT;28 MT
;;chunks;1 946 USD/MT;20 MT
;mango;;;
;;cubes;1 700 USD/MT;72 MT
;;chunks;1 267 USD/MT;19 MT
AGRO FROST S.A.C.;;;2 387 USD/MT;332 MT
;avocado;;;
;;halves;2 508 USD/MT;120 MT
;;slices;2 756 USD/MT;36 MT
;;cubes;2 707 USD/MT;35 MT
;;chunks;2 640 USD/MT;28 MT
;;puree;1 990 USD/MT;24 MT
;mango;;;
;;chunks;1 720 USD/MT;88 MT
FUSION FOODS S.A.C.;;;4 161 USD/MT;267 MT
;mango;;;
;;chunks;2 401 USD/MT;106 MT
;;pulp;3 598 USD/MT;24 MT
;passion_fruit;;;
;;pulp;4 382 USD/MT;56 MT
;lucuma;;;
;;pulp;4 171 USD/MT;37 MT
;blueberry;;;
;;iqf;2 324 USD/MT;24 MT
;avocado;;;
;;halves;4 922 USD/MT;19 MT
;cherimoya;;;
;;pulp;5 847 USD/MT;1 MT
;soursop;;;
;;pulp;5 639 USD/MT;0 MT
PRODUCTORA ANDINA DE CONGELADOS S.R.L.;;;1 382 USD/MT;240 MT
;mango;;;
;;chunks;1 382 USD/MT;240 MT
PROCESADORA PERU SOCIEDAD ANONIMA CERRADA;;;2 651 USD/MT;227 MT
;mango;;;
;;chunks;1 637 USD/MT;120 MT
;avocado;;;
;;iqf;1 913 USD/MT;46 MT
;;slices;3 000 USD/MT;25 MT
;;chunks;2 868 USD/MT;24 MT
;;cubes;3 190 USD/MT;7 MT
;;halves;3 300 USD/MT;5 MT
EXPORTACIONES MIRSA EMPRESA INDIVIDUAL D;;;2 725 USD/MT;201 MT
