fruit_name,Exporter,Total Volume MT,Avg Price USD/MT,Formats
camu_camu,MERRILL CORPORACION S.A.C.,0.0,54175.0,unknown
cherimoya,FUSION FOODS S.A.C.,1.0,5847.0,pulp
golden_berry,FRUTOS TONGORRAPE SOCIEDAD ANONIMA,8.0,1023.0,iqf
golden_berry,PERUVIAN FOOD GROUPS SOCIEDAD ANONIMA CERRADA.,8.0,3350.0,whole
golden_berry,AGC IMPORTACIONES S.A.C.,0.0,9000.0,unknown
golden_berry,MEBOL GF S.A.C.,0.0,425.0,unknown
golden_berry,MONDO IMPRENDITORE S.A.C.,0.0,667.0,unknown
grape,DOMINUS S.A.C,147.0,1479.0,unknown
grape,MEBOL GF S.A.C.,0.0,425.0,unknown
grape,MONDO IMPRENDITORE S.A.C.,0.0,667.0,unknown
grape,VIRU S.A.,0.0,227.0,unknown
grape,VIRÚ GROUP PERÚ S.A.,0.0,84.0,unknown
lucuma,FUSION FOODS S.A.C.,37.0,4171.0,pulp
lucuma,THE GREEN FARMER S.A.C.,14.0,3853.0,pulp
lucuma,MIRANDA - LANGA AGRO EXPORT S.A.C - MIRANDA - LANGA S.A.C,6.0,4174.0,pulp
lucuma,EXPORTACIONES MIRSA EMPRESA INDIVIDUAL D,4.0,4196.0,pulp
lucuma,NITHO'S COMPANY S.A.C.,4.0,1935.0,unknown
lucuma,ZOWI PERU SOCIEDAD ANONIMA CERRADA,3.0,3073.0,pulp
lucuma,LAMAS IMPORT EXPORT S.A.C.,2.0,1456.0,"halves, pulp"
lucuma,MAPA LOGISTICA INTERNACIONAL SAC,1.0,2092.0,unknown
lucuma,MIKUY TRADERS S.A.C.,1.0,2653.0,pulp
lucuma,AGROMANIA SAC,0.0,3900.0,unknown
lucuma,CORPORACION ESPIN E.I.R.L.,0.0,3300.0,unknown
lucuma,DEL ANDE ALIMENTOS S.A.C.,0.0,2.0,unknown
lucuma,FALEB CORP E.I.R.L.,0.0,3700.0,unknown
lucuma,INCA INVEST PERU S.A.C.,0.0,3900.0,unknown
lucuma,INDUSTRIAS SISA S.A.C.,0.0,3200.0,pulp
lucuma,MULTISERVICIOS ROMERO'S & MORENO'S S.A.C.,0.0,3414.0,unknown
lucuma,NEGOCIOS E INVERSIONES MACOVIJ E.I.R.L. - NIMACOVIJ E.I.R.L.,0.0,4000.0,unknown
lucuma,NOVAL COMPANY S.A.C.,0.0,3700.0,unknown
lucuma,OLLADEBARROFOODSOCIEDADCOMERCIALDERESPON,0.0,2800.0,unknown
lucuma,QORI FOODS S.A.C.,0.0,1600.0,unknown
lucuma,SELVA Y FLORESTA SOCIEDAD ANONIMA CERRADA - SELFLO S.A.C.,0.0,2490.0,unknown
lucuma,SILVA & ZAPATA IMPORTACION S.A.C.,0.0,4680.0,unknown
mango,VIRU S.A.,3535.0,1803.0,"chunks, cubes, halves, unknown"
mango,QUICORNAC S.A.C.,3527.0,1040.0,"concentrate, puree, unknown"
mango,AGROINDUSTRIA FRUTOS DE ORO S.A.C.,3312.0,1806.0,"broken_pieces, chunks, iqf, unknown"
mango,AGRICOLA Y GANADERA CHAVIN DE HUANTAR SA,2307.0,2048.0,"broken_pieces, chunks, cubes, iqf, unknown"
mango,FRUTÍCOLA OLMUÉ PERÚ S.A.C.,2216.0,2043.0,"broken_pieces, chunks, cubes, iqf"
mango,FRUTOS TROPICALES PERU EXPORT SOCIEDAD A,1988.0,1952.0,"chunks, unknown"
mango,SUNSHINE EXPORT S.A.C,1915.0,1964.0,unknown
mango,AGROINDUSTRIAS AIB S.A,1736.0,1789.0,"chunks, iqf, unknown"
mango,CAMPOSOL S.A.,1444.0,1870.0,unknown
